arm,dose,data_arm,checkpoint,words,BLiMP,Supplement,EWoK,Entity,COMPS,Reading,cheap6_no_GlobalPIQA,cheap5_no_GlobalPIQA_Reading,EWoK_plus_Entity_sum,source_type,per_target,run_dir
dose1p82_repeat,1.8209293539856442,repeat,chck_10M,10000000,56.04,52.46,48.79,17.32,50.13,7.515,38.70916666666667,44.948,66.11,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_10M.json,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_repeat_dose1p82x_matched_rowholdout_deberta100M_seed43022
dose1p82_repeat,1.8209293539856442,repeat,chck_20M,20000000,59.65,57.52,49.66,19.27,50.67,8.135,40.8175,47.354,68.92999999999999,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_20M.json,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_repeat_dose1p82x_matched_rowholdout_deberta100M_seed43022
dose1p82_repeat,1.8209293539856442,repeat,chck_30M,30000000,60.13,57.65,50.55,21.19,50.68,7.994999999999999,41.365833333333335,48.04,71.74,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_30M.json,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_repeat_dose1p82x_matched_rowholdout_deberta100M_seed43022
dose1p82_repeat,1.8209293539856442,repeat,chck_40M,40000000,62.79,58.46,49.35,23.27,50.95,7.395,42.035833333333336,48.964,72.62,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_40M.json,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_repeat_dose1p82x_matched_rowholdout_deberta100M_seed43022
dose1p82_repeat,1.8209293539856442,repeat,chck_50M,50000000,63.8,59.54,50.86,25.3,50.68,8.3,43.080000000000005,50.036,76.16,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_50M.json,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_repeat_dose1p82x_matched_rowholdout_deberta100M_seed43022
dose1p82_repeat,1.8209293539856442,repeat,chck_60M,60000000,64.88,59.2,50.71,27.3,51.04,7.785,43.48583333333334,50.626,78.01,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_60M.json,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_repeat_dose1p82x_matched_rowholdout_deberta100M_seed43022
dose1p82_repeat,1.8209293539856442,repeat,chck_70M,70000000,65.38,57.05,49.27,27.91,51.21,8.075,43.149166666666666,50.164,77.18,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_70M.json,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_repeat_dose1p82x_matched_rowholdout_deberta100M_seed43022
dose1p82_repeat,1.8209293539856442,repeat,chck_80M,80000000,66.26,57.0,50.43,27.58,51.11,7.550000000000001,43.321666666666665,50.476,78.00999999999999,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_80M.json,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_repeat_dose1p82x_matched_rowholdout_deberta100M_seed43022
dose1p82_repeat,1.8209293539856442,repeat,chck_90M,90000000,66.52,56.13,50.3,27.62,51.17,7.745,43.2475,50.348,77.92,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_90M.json,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_repeat_dose1p82x_matched_rowholdout_deberta100M_seed43022
dose1p82_repeat,1.8209293539856442,repeat,chck_100M,100000000,66.59,56.66,50.16,27.54,51.16,7.815,43.32083333333333,50.422,77.69999999999999,new_eval,experiments/archive/frontier_consolidation/data/intermediate_dose_ladder_stable_eval/eval/per_target/intermediate_dose1p82_repeat_chck_100M.json,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_repeat_dose1p82x_matched_rowholdout_deberta100M_seed43022
